features,model,best_params,best_estimator,train_AS,train_PS,train_RS,train_F1S,train_F2S,train_MCC,train_LS,train_ROC_AUC,test_AS,test_PS,test_RS,test_F1S,test_F2S,test_MCC,test_LS,test_ROC_AUC
ANOVA,RF,{'n_estimators': 95},RandomForestClassifier(n_estimators=95),1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,0.75,0.4973,0.5129,0.4984,0.4984,0.3169,2.0092,0.8016
ANOVA,SVM,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}","SVC(C=1000, gamma=0.01, probability=True)",0.7966,0.5746,0.6039,0.5847,0.5847,0.4391,2.2977,0.8537,0.7408,0.4738,0.5032,0.4808,0.4808,0.2961,1.7872,0.8021
ANOVA,LR,"{'C': 100, 'max_iter': 200}","LogisticRegression(C=100, max_iter=200)",0.6986,0.4138,0.4325,0.4175,0.4175,0.1941,1.6142,0.7544,0.6549,0.3347,0.3645,0.3463,0.3463,0.0887,1.1764,0.7317
ANOVA,KNN,{'n_neighbors': 6},KNeighborsClassifier(n_neighbors=6),0.8337,0.6649,0.6677,0.6619,0.6619,0.5434,3.0333,0.9068,0.7517,0.4954,0.5,0.4893,0.4893,0.3123,1.9809,0.7291
ANOVA,DT,"{'criterion': 'entropy', 'splitter': 'best'}",DecisionTreeClassifier(criterion='entropy'),1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,0.7367,0.4716,0.4742,0.4723,0.4723,0.2789,1.8297,0.6097
ANOVA,AdaBoost,"{'algorithm': 'SAMME', 'n_estimators': 150}","AdaBoostClassifier(algorithm='SAMME', n_estimators=150)",0.724,0.4448,0.4859,0.4572,0.4572,0.2524,1.5621,0.7226,0.7042,0.4208,0.4419,0.4165,0.4165,0.2075,1.3945,0.691
ANOVA,MLP,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': 100, 'max_iter': 1900, 'solver': 'adam'}","MLPClassifier(hidden_layer_sizes=100, max_iter=1900)",0.8162,0.6236,0.633,0.6221,0.6221,0.4903,2.7536,0.8839,0.7528,0.5435,0.5226,0.5093,0.5093,0.3377,2.4497,0.8179
MI,RF,{'n_estimators': 50},RandomForestClassifier(n_estimators=50),1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,0.8128,0.614,0.6226,0.61,0.61,0.4777,2.6308,0.859
MI,SVM,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}","SVC(C=10, gamma=0.1, probability=True)",0.8544,0.7038,0.7033,0.6949,0.6949,0.5941,3.2498,0.92,0.8011,0.6115,0.6,0.5874,0.5874,0.4551,2.6138,0.8601
MI,LR,"{'C': 0.1, 'max_iter': 200}","LogisticRegression(C=0.1, max_iter=200)",0.7165,0.4363,0.4721,0.4514,0.4514,0.24,1.7195,0.7882,0.6759,0.354,0.3968,0.3725,0.3725,0.1319,1.2644,0.7669
MI,KNN,{'n_neighbors': 18},KNeighborsClassifier(n_neighbors=18),0.817,0.6346,0.6346,0.6273,0.6273,0.4983,2.7854,0.8867,0.7607,0.56,0.5355,0.5322,0.5322,0.3647,2.5457,0.804
MI,DT,"{'criterion': 'entropy', 'splitter': 'best'}",DecisionTreeClassifier(criterion='entropy'),1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,0.7927,0.5884,0.5839,0.5845,0.5845,0.434,2.5478,0.6985
MI,AdaBoost,"{'algorithm': 'SAMME', 'n_estimators': 160}","AdaBoostClassifier(algorithm='SAMME', n_estimators=160)",0.7517,0.5351,0.5287,0.5024,0.5024,0.3299,2.5544,0.7753,0.722,0.5243,0.4839,0.4549,0.4549,0.2631,2.3838,0.7387
MI,MLP,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': 10, 'max_iter': 600, 'solver': 'lbfgs'}","MLPClassifier(hidden_layer_sizes=10, max_iter=600, solver='lbfgs')",0.8531,0.7006,0.7009,0.6949,0.6949,0.5909,3.1969,0.9226,0.8215,0.6491,0.6387,0.6287,0.6287,0.5087,2.8204,0.8847
ANOVA,RF,{'n_estimators': 65},RandomForestClassifier(n_estimators=65),1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,0.7567,0.5043,0.5226,0.5074,0.5074,0.3308,1.9886,0.8027
ANOVA,SVM,"{'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}","SVC(C=1000, gamma=0.01, probability=True)",0.7966,0.5746,0.6039,0.5847,0.5847,0.4391,2.2977,0.8533,0.7408,0.4738,0.5032,0.4808,0.4808,0.2961,1.7872,0.8028
ANOVA,LR,"{'C': 100, 'max_iter': 200}","LogisticRegression(C=100, max_iter=200)",0.6986,0.4138,0.4325,0.4175,0.4175,0.1941,1.6142,0.7544,0.6549,0.3347,0.3645,0.3463,0.3463,0.0887,1.1764,0.7317
ANOVA,KNN,{'n_neighbors': 6},KNeighborsClassifier(n_neighbors=6),0.8337,0.6649,0.6677,0.6619,0.6619,0.5434,3.0333,0.9068,0.7517,0.4954,0.5,0.4893,0.4893,0.3123,1.9809,0.7291
